"Horatio Alger Jr.","1832-1-13"," American clergyman and author of boys' books"
"Sophie Tucker","1884-1-13"," last red hot mamma"
"Ralph Edwards","1913-1-13"," (This is your life)"
"Jesse White","1919-1-13"," Actor (Maytag repairman)"
"Robert Stack","1919-1-13"," TV & film Actor (Elliot Ness)"
"Gwen Verdon","1925-1-13"," Actress and dancer (Cotton Club) in LA"
"Charles Nelson Reilly","1931-1-13"," comedian"
"William Whipple","1730-1-14"," Decl of Ind signer"
"Gen Benedict Arnold","1741-1-14"," fink"
"Calvin Phillips","1791-1-14"," became shortest known adult male (67 cm)"
"Mehmed VI","1861-1-14"," last sultan of Ottoman Empire (1918-22)"
"Albert Schweitzer","1875-1-14"," doctor and humanitarian and organist (Nobel 1952)"
"Hal Roach","1892-1-14"," early film director & producer"
"John dos Passos","1896-1-14"," novelist (1919 and Big Money and 42nd Parallel)"
"Andy Rooney","1919-1-14"," TV commentator (60 Minutes)"
"Thomas Tryon","1926-1-14"," Actor and novelist"
"Catarina Valenti","1932-1-14"," singer in Paris France"
"Julian Bond (D)","1940-1-14"," civil rights leader and Georgia legislator"
"Faye Dunaway","1941-1-14"," Actress (Chinatown and Bonnie & Clyde) in Fla"
"Molire","1622-1-15"," French dramatist (baptized)"
"Pierre Joseph Proudhon","1809-1-15"," French libertarian socialist"
"Sofya Kovalevskaya","1850-1-15"," Russian mathematician"
"Nathan Soderblom","1866-1-15"," Lutheran archbishop and internationalist (Nobel '30)"
"Goodman Ace","1899-1-15"," radio & TV writer and Actor and columnist and humorist"
"Aristotle Onassis","1906-1-15"," industrialist"
"Edward Teller","1908-1-15"," fathered H-bomb"
"Lloyd Bridges","1913-1-15"," Actor (Sea Hunt and Roots and Airplane)"
"Gamal Abdel Nasser","1918-1-15"," Egyptian leader"
"S. Kovalevskaya","1919-1-15","S. Kovalevskaya"
"Chuck Berry","1926-1-15"," singer (Johnny B. Goode)"
"Maria Schell","1926-1-15"," in Vienna Austria - Space 1999"
"Rev. Dr. Martin Luther King Jr.","1929-1-15"," dreamer (Nobel Peace Prize 1964)"
"Margaret O'Brien","1937-1-15"," in San Diego Calif"
"Janet Lennon","1946-1-15"," in Culver City"
"Charo","1951-1-15"," in Spain"
"Andre Michelin","1853-1-16"," French industrialist and tire manufacturer"
"Robert Service","1874-1-16"," Canadian poet (Cremation of Sam McGee)"
"Guy Chamberlin","1894-1-16"," early NFL end and coach"
"Ethel Merman","1909-1-16"," everythings coming up roses"
"Dizzy Dean","1911-1-16"," baseball player (St Louis Cardinals)"
"Katy Jurado","1924-1-16"," in Mexico"
"Allard Lowenstein","1929-1-16"," Students for Democratic Action"
"Norman Podhoretz","1930-1-16"," author"
"Oleg G Makarov","1933-1-16"," cosmonaut (Soyuz 12 & 18-1 & 27 & T-3)"
"Marilyn Horne","1934-1-16"," in Pennsylvania"
"A.J. Foyt","1935-1-16"," auto race driver"
"Benjamin Franklin","1706-1-17"," Boston and kite flyer and statesman and wit"
"Stanislaw II","1732-1-17"," last king of Poland (1764-95)"
"Charles Brockden Brown","1771-1-17"," father of American novel"
"Sir Antoine Dorion (L)","1818-1-17"," joint premier of Canada (1858 and 1863-64)"
"Eugene Augustin Lauste","1857-1-17"," developed 1st sound-on-film recording"
"David Lloyd George (Liberal)","1863-1-17"," prime minister of Britain (1916-22)"
"Konstantin Stanislavsky","1863-1-17"," Actor and director and producer and methodist"
"Mack Sennett","1880-1-17"," created Keystone Kops"
"Robert Maynard Hutchins","1899-1-17"," American educator and civil libertarian"
"A Chekhov","1919-1-17","A Chekhov"
"Betty White","1924-1-17"," Actress (Mary Tyler Moore Show and Golden Girls) in Oak Pk"
"Moira Shearer","1926-1-17"," Scottish ballerina"
"James Earl Jones","1931-1-17"," Actor (Darth Vader)"
"Sheree North","1933-1-17"," in Los Angeles"
"Shari Lewis","1934-1-17"," puppeteer in Bronx NY"
"Joe Frazier","1944-1-17"," heavyweight champion boxer (1968-73)"
"Debbie Watson","1949-1-17"," in Culver City California"
"Peter Roget","1779-1-18"," of Thesaurus fame--invented Slide Rule and pocket chessboard"
"Daniel Webster","1782-1-18"," early American orator & politician"
"Joseph Farwell Glidden","1813-1-18"," invented 1st coml useable barbed wire"
"Sir Edmund Barton","1849-1-18"," 1st prime minister of Australia (1900-03)"
"Thomas A Watson","1854-1-18"," needed by Bell"
"Ruben Dario","1867-1-18"," national poet of Nicaragua"
"A.A. Milne","1882-1-18"," author of Winnie-the-Pooh"
"Oliver Hardy","1892-1-18"," of comedy team Laurel & Hardy"
"Cary Grant","1904-1-18"," Actor (Arsenic & Old Lace and North by Northwest)"
"Danny Kaye","1913-1-18"," comedian and Actor and UNICEF"
"Constance Moore","1922-1-18"," in Sioux City Iowa"
"Muhammad Ali","1942-1-18"," (aka Cassius Clay) -- boxer"
"St Wulfstan","1095-1-19"," bishop of Worcester--ended sale of slaves at Bristol"
"James Watt","1736-1-19"," made steam engine workable (or 1753)"
"Isaiah Thomas","1749-1-19"," American printer and editor and publisher and historian"
"Auguste Comte","1798-1-19"," philosopher and founder of sociology & Positivism"
"Robert E Lee","1807-1-19"," Confederate gen"
"Edgar Allen Poe","1809-1-19"," author (The Pit & the Pendulum)"
